stateabb,year,cinc
USA,1816,0.039697491
USA,1817,0.03581661
USA,1818,0.036126547
USA,1819,0.03713325
USA,1820,0.037086867
USA,1821,0.034173075
USA,1822,0.032939076
USA,1823,0.033107504
USA,1824,0.032977588
USA,1825,0.034215014
USA,1826,0.036425188
USA,1827,0.035708901
USA,1828,0.035687946
USA,1829,0.03748225
USA,1830,0.038483679
USA,1831,0.042001393
USA,1832,0.044544697
USA,1833,0.048138127
USA,1834,0.04777348
USA,1835,0.048520003
USA,1836,0.050953005
USA,1837,0.053536404
USA,1838,0.053272706
USA,1839,0.050800554
USA,1840,0.049549963
USA,1841,0.050864942
USA,1842,0.049301073
USA,1843,0.051081475
USA,1844,0.057326183
USA,1845,0.061653126
USA,1846,0.082757324
USA,1847,0.084509611
USA,1848,0.087174244
USA,1849,0.073096491
USA,1850,0.072471224
USA,1851,0.067707323
USA,1852,0.071873814
USA,1853,0.078743748
USA,1854,0.074200429
USA,1855,0.075997368
USA,1856,0.07840921
USA,1857,0.083294868
USA,1858,0.083430812
USA,1859,0.083074376
USA,1860,0.077372178
USA,1861,0.14442921
USA,1862,0.1763908
USA,1863,0.17896698
USA,1864,0.19291268
USA,1865,0.13546522
USA,1866,0.098171704
USA,1867,0.11413383
USA,1868,0.10664034
USA,1869,0.10800558
USA,1870,0.098999612
USA,1871,0.098380953
USA,1872,0.1152826
USA,1873,0.11626876
USA,1874,0.11424514
USA,1875,0.10696469
USA,1876,0.10191685
USA,1877,0.10465261
USA,1878,0.10834531
USA,1879,0.12033306
USA,1880,0.1254597
USA,1881,0.12642455
USA,1882,0.1310108
USA,1883,0.13134626
USA,1884,0.13138734
USA,1885,0.13126135
USA,1886,0.1461353
USA,1887,0.15109947
USA,1888,0.1523269
USA,1889,0.15484266
USA,1890,0.16539624
USA,1891,0.16558971
USA,1892,0.17333591
USA,1893,0.16572861
USA,1894,0.15442234
USA,1895,0.16809899
USA,1896,0.16001122
USA,1897,0.16910996
USA,1898,0.19706185
USA,1899,0.18547629
USA,1900,0.18799882
USA,1901,0.2026186
USA,1902,0.2076682
USA,1903,0.21049646
USA,1904,0.20494163
USA,1905,0.21378319
USA,1906,0.21827872
USA,1907,0.22772999
USA,1908,0.20318815
USA,1909,0.22519203
USA,1910,0.22648241
USA,1911,0.21620536
USA,1912,0.22481573
USA,1913,0.21991131
USA,1914,0.20636405
USA,1915,0.2220827
USA,1916,0.23293602
USA,1917,0.24402818
USA,1918,0.29487148
USA,1919,0.38128334
USA,1920,0.28956637
USA,1921,0.2532295
USA,1922,0.25559509
USA,1923,0.27207768
USA,1924,0.25359103
USA,1925,0.25404567
USA,1926,0.26326758
USA,1927,0.23862661
USA,1928,0.2400723
USA,1929,0.23979345
USA,1930,0.22811012
USA,1931,0.21601571
USA,1932,0.19717696
USA,1933,0.20514032
USA,1934,0.19744284
USA,1935,0.19324611
USA,1936,0.20598476
USA,1937,0.20089963
USA,1938,0.1707712
USA,1939,0.18197109
USA,1940,0.20190711
USA,1941,0.24449451
USA,1942,0.2854552
USA,1943,0.3456322
USA,1944,0.3506417
USA,1945,0.38386354
USA,1946,0.36398837
USA,1947,0.30994186
USA,1948,0.2946597
USA,1949,0.27316636
USA,1950,0.28444302
USA,1951,0.31949946
USA,1952,0.31136742
USA,1953,0.31115836
USA,1954,0.28094009
USA,1955,0.26642248
USA,1956,0.2606138
USA,1957,0.2550486
USA,1958,0.23446997
USA,1959,0.22896473
USA,1960,0.21544383
USA,1961,0.21065485
USA,1962,0.20991142
USA,1963,0.20796648
USA,1964,0.20298257
USA,1965,0.2015391
USA,1966,0.20866945
USA,1967,0.20854811
USA,1968,0.20341188
USA,1969,0.19795081
USA,1970,0.18096918
USA,1971,0.16995624
USA,1972,0.16474316
USA,1973,0.15881944
USA,1974,0.15269861
USA,1975,0.14394777
USA,1976,0.14246269
USA,1977,0.14182441
USA,1978,0.13967438
USA,1979,0.13721611
USA,1980,0.13311459
USA,1981,0.13800748
USA,1982,0.1295889
USA,1983,0.1329419
USA,1984,0.13559404
USA,1985,0.13731457
USA,1986,0.13528731
USA,1987,0.13402919
USA,1988,0.13446887
USA,1989,0.14823866
USA,1990,0.14125326
USA,1991,0.13713777
USA,1992,0.14824486
USA,1993,0.15345162
USA,1994,0.14568017
USA,1995,0.14037095
USA,1996,0.13841243
USA,1997,0.13955292
USA,1998,0.14151686
USA,1999,0.14250799
USA,2000,0.14268766
USA,2001,0.14141168
USA,2002,0.15347439
USA,2003,0.15177245
USA,2004,0.1514481
USA,2005,0.15630208
USA,2006,0.15419258
USA,2007,0.14972392
USA,2008,0.14751531
USA,2009,0.14588451
USA,2010,0.14757971
USA,2011,0.14285889
USA,2012,0.13892639
USA,2013,0.13264199
USA,2014,0.12940805
