stateabb,year,milex,milper
USA,1816,3823,17
USA,1817,2466,15
USA,1818,1910,14
USA,1819,2301,13
USA,1820,1556,15
USA,1821,1612,11
USA,1822,1079,10
USA,1823,1170,11
USA,1824,1261,11
USA,1825,1336,11
USA,1826,1658,12
USA,1827,1663,12
USA,1828,1622,11
USA,1829,1678,12
USA,1830,1687,12
USA,1831,1835,11
USA,1832,1896,12
USA,1833,2445,13
USA,1834,2073,13
USA,1835,2001,14
USA,1836,2571,17
USA,1837,3121,22
USA,1838,3083,18
USA,1839,2012,19
USA,1840,2755,22
USA,1841,3042,21
USA,1842,3011,23
USA,1843,1364,21
USA,1844,2432,21
USA,1845,3534,21
USA,1846,9506,39
USA,1847,7431,58
USA,1848,8106,60
USA,1849,3558,23
USA,1850,4302,21
USA,1851,3525,21
USA,1852,4226,21
USA,1853,4605,21
USA,1854,5765,21
USA,1855,5892,26
USA,1856,6117,26
USA,1857,7499,27
USA,1858,7297,29
USA,1859,5638,29
USA,1860,7060,28
USA,1861,95362,217
USA,1862,136769,673
USA,1863,119662,960
USA,1864,157390,1032
USA,1865,30471,1063
USA,1866,17821,77
USA,1867,30698,75
USA,1868,20154,66
USA,1869,16559,52
USA,1870,13128,50
USA,1871,11811,42
USA,1872,14246,42
USA,1873,15014,43
USA,1874,12899,44
USA,1875,11720,38
USA,1876,10749,41
USA,1877,9074,34
USA,1878,11367,36
USA,1879,10527,38
USA,1880,11414,38
USA,1881,11973,38
USA,1882,13040,38
USA,1883,11425,37
USA,1884,11438,39
USA,1885,9748,39
USA,1886,10382,39
USA,1887,10765,39
USA,1888,12647,39
USA,1889,13195,39
USA,1890,14788,39
USA,1891,15315,38
USA,1892,15654,39
USA,1893,16964,39
USA,1894,16001,42
USA,1895,15187,42
USA,1896,16382,42
USA,1897,30249,44
USA,1898,60011,236
USA,1899,38588,100
USA,1900,41481,126
USA,1901,36087,112
USA,1902,39722,111
USA,1903,43814,106
USA,1904,47918,110
USA,1905,45098,108
USA,1906,43602,112
USA,1907,58725,108
USA,1908,54189,129
USA,1909,56177,142
USA,1910,55880,139
USA,1911,57157,145
USA,1912,58992,153
USA,1913,62825,155
USA,1914,253205,166
USA,1915,257648,174
USA,1916,277421,179
USA,1917,658584,644
USA,1918,7014226,2897
USA,1919,11217796,1173
USA,1920,1657118,343
USA,1921,1116342,387
USA,1922,860853,270
USA,1923,678256,247
USA,1924,570142,261
USA,1925,589706,252
USA,1926,558004,247
USA,1927,596501,249
USA,1928,678100,251
USA,1929,701300,255
USA,1930,699200,256
USA,1931,698900,253
USA,1932,641600,245
USA,1933,570400,244
USA,1934,803100,247
USA,1935,806400,252
USA,1936,932600,291
USA,1937,1032900,312
USA,1938,1131499,323
USA,1939,980000,334
USA,1940,1657000,458
USA,1941,6301000,1801
USA,1942,26001000,3859
USA,1943,72109000,9045
USA,1944,87000000,11452
USA,1945,90000000,12123
USA,1946,45133984,3030
USA,1947,14315999,1583
USA,1948,10960998,1446
USA,1949,13503000,1615
USA,1950,14559000,1460
USA,1951,33398000,3249
USA,1952,47852000,3636
USA,1953,49621008,3555
USA,1954,42786000,3302
USA,1955,40518000,2935
USA,1956,41773008,2806
USA,1957,44548000,2796
USA,1958,45503008,2411
USA,1959,46614000,2328
USA,1960,45380000,2306
USA,1961,47808000,2307
USA,1962,52381008,2807
USA,1963,52295008,2700
USA,1964,51213008,2687
USA,1965,51827008,2660
USA,1966,67572000,3090
USA,1967,75448000,3380
USA,1968,80732000,3550
USA,1969,81446000,3460
USA,1970,77827008,3070
USA,1971,74862000,2720
USA,1972,77639000,2323
USA,1973,78385000,2206
USA,1974,85906000,2146
USA,1975,90948000,2098
USA,1976,91013000,2075
USA,1977,100925000,2060
USA,1978,109247000,2060
USA,1979,122279000,2033
USA,1980,143981000,2050
USA,1981,169888000,2101
USA,1982,196345000,2168
USA,1983,217198000,2201
USA,1984,237052000,2222
USA,1985,245154000,2244
USA,1986,265480000,2269
USA,1987,273966000,2280
