stateabb,year,tpop,upop
USA,1816,8659,101
USA,1817,8899,106
USA,1818,9139,112
USA,1819,9379,118
USA,1820,9618,124
USA,1821,9939,130
USA,1822,10268,136
USA,1823,10596,143
USA,1824,10924,151
USA,1825,11252,158
USA,1826,11580,166
USA,1827,11909,175
USA,1828,12237,183
USA,1829,12565,193
USA,1830,12901,203
USA,1831,13321,222
USA,1832,13742,244
USA,1833,14162,268
USA,1834,14582,295
USA,1835,15003,324
USA,1836,15423,356
USA,1837,15843,391
USA,1838,16264,429
USA,1839,16684,471
USA,1840,17120,518
USA,1841,17733,562
USA,1842,18345,610
USA,1843,18957,662
USA,1844,19569,718
USA,1845,20182,779
USA,1846,20794,846
USA,1847,21406,918
USA,1848,22018,996
USA,1849,22631,1081
USA,1850,23261,1174
USA,1851,24086,1273
USA,1852,24911,1380
USA,1853,25736,1496
USA,1854,26561,1623
USA,1855,27386,1760
USA,1856,28212,1908
USA,1857,29037,2069
USA,1858,29862,2244
USA,1859,30687,2433
USA,1860,31513,2639
USA,1861,32351,2759
USA,1862,33188,2886
USA,1863,34026,3018
USA,1864,34863,3156
USA,1865,35701,3301
USA,1866,36538,3452
USA,1867,37376,3610
USA,1868,38213,3776
USA,1869,39051,3949
USA,1870,39905,4130
USA,1871,40938,4302
USA,1872,41972,4481
USA,1873,43006,4667
USA,1874,44040,4862
USA,1875,45073,5064
USA,1876,46107,5275
USA,1877,47141,5495
USA,1878,48174,5724
USA,1879,49208,5962
USA,1880,50262,6211
USA,1881,51542,6494
USA,1882,52821,6789
USA,1883,54100,7099
USA,1884,55379,7422
USA,1885,56658,7761
USA,1886,57938,8114
USA,1887,59217,8484
USA,1888,60496,8871
USA,1889,61775,9275
USA,1890,63056,9698
USA,1891,64361,10075
USA,1892,65666,10467
USA,1893,66970,10874
USA,1894,68275,11298
USA,1895,69580,11737
USA,1896,70885,12194
USA,1897,72189,12669
USA,1898,73494,13162
USA,1899,74799,13674
USA,1900,76094,14207
USA,1901,77584,14723
USA,1902,79163,15258
USA,1903,80632,15812
USA,1904,82166,16387
USA,1905,83822,16982
USA,1906,85450,17600
USA,1907,87008,18239
USA,1908,88710,18902
USA,1909,90490,19589
USA,1910,92407,20302
USA,1911,93863,21039
USA,1912,95335,21804
USA,1913,97225,22596
USA,1914,99111,23340
USA,1915,100546,24008
USA,1916,101961,24688
USA,1917,103268,25310
USA,1918,103208,26020
USA,1919,104514,26723
USA,1920,106461,27428
USA,1921,108538,28210
USA,1922,110049,29013
USA,1923,111947,29840
USA,1924,114109,30690
USA,1925,115829,31565
USA,1926,117397,32464
USA,1927,119035,33389
USA,1928,120509,34340
USA,1929,121767,35318
USA,1930,123188,36326
USA,1931,124149,36360
USA,1932,124949,36424
USA,1933,125690,36518
USA,1934,126485,36644
USA,1935,127362,36843
USA,1936,128181,36995
USA,1937,128961,37229
USA,1938,129969,37463
USA,1939,131028,37772
USA,1940,132122,37988
USA,1941,133402,38183
USA,1942,134860,38377
USA,1943,136739,38554
USA,1944,138397,38898
USA,1945,139928,39100
USA,1946,141389,39725
USA,1947,144126,40857
USA,1948,147208,42019
USA,1949,149767,43216
USA,1950,152271,43964
USA,1951,154878,44711
USA,1952,157553,45123
USA,1953,160184,46581
USA,1954,163026,47007
USA,1955,165931,47688
USA,1956,168903,48389
USA,1957,171984,49087
USA,1958,174882,49733
USA,1959,177830,50320
USA,1960,180671,50966
USA,1961,183691,50941
USA,1962,186538,50916
USA,1963,189242,50891
USA,1964,191889,50866
USA,1965,194303,50841
USA,1966,196560,50815
USA,1967,198712,50790
USA,1968,200706,50765
USA,1969,202677,53117
USA,1970,205052,55468
USA,1971,207661,55560
USA,1972,209896,55652
USA,1973,211909,55743
USA,1974,213854,55736
USA,1975,215973,55728
USA,1976,218035,55721
USA,1977,220239,55713
USA,1978,222585,56208
USA,1979,225055,56702
USA,1980,227726,57197
USA,1981,229966,57825
USA,1982,232188,58453
USA,1983,234307,58856
USA,1984,236348,59259
USA,1985,238466,60260
USA,1986,240651,61261
USA,1987,242804,61975
USA,1988,245021,62689
USA,1989,247342,63402
USA,1990,249907,64116
USA,1991,252618,64814
USA,1992,255391,65413
USA,1993,258132,66072
USA,1994,260602,66457
USA,1995,262755,66945
USA,1996,265284,67433
USA,1997,267901,68503
USA,1998,274028,69572
USA,1999,276218,70642
USA,2000,278357,75342
USA,2001,285112,76419
USA,2002,290270,157321
USA,2003,292883,159669
USA,2004,295487,162073
USA,2005,298166,164533
USA,2006,300943,166465
USA,2007,303787,169391
USA,2008,306657,172381
USA,2009,309492,175133
USA,2010,312247,177349
USA,2011,314912,180792
USA,2012,317505,183712
USA,2013,315537,187325
USA,2014,317719,190421
USA,2015,319929,194505
USA,2016,322180,197817
CAN,1920,8556,1598
CAN,1921,8788,1659
CAN,1922,8919,1708
CAN,1923,9010,1760
CAN,1924,9143,1822
CAN,1925,9294,1893
CAN,1926,9451,1971
CAN,1927,9637,2054
CAN,1928,9835,2119
CAN,1929,10029,2187
CAN,1930,10208,2256
CAN,1931,10377,2328
CAN,1932,10510,2361
CAN,1933,10633,2397
CAN,1934,10741,2426
CAN,1935,10845,2459
CAN,1936,10950,2490
CAN,1937,11045,2526
CAN,1938,11152,2560
CAN,1939,11267,2589
CAN,1940,11381,2617
CAN,1941,11507,2645
CAN,1942,11654,2690
CAN,1943,11795,2738
CAN,1944,11946,2790
CAN,1945,12072,2845
CAN,1946,12292,2903
CAN,1947,12551,2972
CAN,1948,13167,3041
CAN,1949,13475,3113
CAN,1950,13737,3186
CAN,1951,14050,3261
CAN,1952,14496,3337
CAN,1953,14886,3415
CAN,1954,15330,3496
CAN,1955,15736,3578
CAN,1956,16123,3664
CAN,1957,16677,3750
CAN,1958,17120,3841
CAN,1959,17522,3934
CAN,1960,17909,4049
CAN,1961,18238,4154
CAN,1962,18614,4247
CAN,1963,18964,4399
CAN,1964,19325,4554
CAN,1965,19678,4702
CAN,1966,20048,4645
CAN,1967,20412,4669
CAN,1968,20729,4692
CAN,1969,21028,4806
CAN,1970,21297,4920
CAN,1971,22962,5035
CAN,1972,22220,5149
CAN,1973,22494,5263
CAN,1974,22808,5377
CAN,1975,23142,5432
CAN,1976,23450,5487
CAN,1977,23726,5543
CAN,1978,23964,5598
CAN,1979,24202,5653
CAN,1980,24516,5713
CAN,1981,24820,6604
CAN,1982,25117,6989
CAN,1983,25367,7374
CAN,1984,25608,7759
CAN,1985,25843,8144
CAN,1986,26101,8530
CAN,1987,26450,8915
CAN,1988,26798,9300
CAN,1989,27286,9685
CAN,1990,27701,10070
CAN,1991,28031,10455
CAN,1992,28377,10686
CAN,1993,28703,10918
CAN,1994,29036,11149
CAN,1995,29354,11381
CAN,1996,29672,11612
CAN,1997,30004,11751
CAN,1998,30563,11892
CAN,1999,30857,12035
CAN,2000,31147,12178
CAN,2001,31021,12323
CAN,2002,31284,17884
CAN,2003,31592,18134
CAN,2004,31914,18389
CAN,2005,32253,18647
CAN,2006,32611,18911
CAN,2007,32986,19188
CAN,2008,33370,19471
CAN,2009,33753,19757
CAN,2010,34126,20049
CAN,2011,34487,20345
CAN,2012,34838,20647
CAN,2013,35255,20977
CAN,2014,35605,21246
CAN,2015,35950,21520
CAN,2016,36290,21799
BHM,1973,181,0
BHM,1974,185,0
BHM,1975,189,0
BHM,1976,193,0
BHM,1977,197,0
BHM,1978,201,0
BHM,1979,206,0
BHM,1980,210,135
BHM,1981,214,139
BHM,1982,218,143
BHM,1983,223,146
BHM,1984,227,150
BHM,1985,232,154
BHM,1986,236,157
BHM,1987,241,159
BHM,1988,246,163
BHM,1989,251,165
BHM,1990,255,172
BHM,1991,260,177
BHM,1992,264,182
BHM,1993,269,187
BHM,1994,274,192
BHM,1995,279,195
BHM,1996,284,199
BHM,1997,289,203
BHM,1998,296,207
BHM,1999,301,211
BHM,2000,307,214
BHM,2001,308,217
BHM,2002,309,0
BHM,2003,316,0
BHM,2004,322,0
BHM,2005,329,0
BHM,2006,336,0
BHM,2007,342,0
BHM,2008,348,0
BHM,2009,354,0
BHM,2010,360,0
BHM,2011,366,0
BHM,2012,372,0
BHM,2013,377,0
BHM,2014,382,0
BHM,2015,387,0
BHM,2016,391,0
CUB,1902,1760,262
CUB,1903,1840,266
CUB,1904,1880,271
CUB,1905,1930,275
CUB,1906,1980,279
CUB,1909,2150,294
CUB,1910,2220,301
CUB,1911,2290,309
CUB,1912,2360,316
CUB,1913,2410,324
CUB,1914,2510,330
CUB,1915,2590,336
CUB,1916,2660,341
CUB,1917,2750,348
CUB,1918,2830,354
CUB,1919,2910,361
CUB,1920,3000,378
CUB,1921,3080,393
CUB,1922,3180,418
CUB,1923,3260,437
