stateabb,year,irst,pec
USA,1816,80,254
USA,1817,80,277
USA,1818,90,302
USA,1819,90,293
USA,1820,110,303
USA,1821,100,321
USA,1822,100,332
USA,1823,110,345
USA,1824,110,390
USA,1825,120,424
USA,1826,120,502
USA,1827,130,556
USA,1828,130,609
USA,1829,144,686
USA,1830,168,799
USA,1831,194,864
USA,1832,203,1154
USA,1833,220,1348
USA,1834,240,1291
USA,1835,260,1650
USA,1836,280,1807
USA,1837,290,2027
USA,1838,310,1922
USA,1839,330,2159
USA,1840,291,2244
USA,1841,290,2374
USA,1842,219,2643
USA,1843,320,2967
USA,1844,400,3557
USA,1845,490,4284
USA,1846,777,4863
USA,1847,813,5767
USA,1848,813,6424
USA,1849,660,6976
USA,1850,572,7607
USA,1851,420,9438
USA,1852,508,10270
USA,1853,730,11570
USA,1854,668,13632
USA,1855,711,14651
USA,1856,801,15378
USA,1857,724,15779
USA,1858,640,16015
USA,1859,763,17435
USA,1860,835,18282
USA,1861,664,17660
USA,1862,715,18366
USA,1863,860,21157
USA,1864,1031,22597
USA,1865,845,22658
USA,1866,1225,26846
USA,1867,1326,28027
USA,1868,1454,31646
USA,1869,1739,35983
USA,1870,1692,37779
USA,1871,1735,39546
USA,1872,2590,48479
USA,1873,2602,53674
USA,1874,2439,51736
USA,1875,2057,52194
USA,1876,1899,51080
USA,1877,2100,56754
USA,1878,2338,55588
USA,1879,2786,67742
USA,1880,3896,76969
USA,1881,4211,81416
USA,1882,4697,91087
USA,1883,4669,97750
USA,1884,4164,102689
USA,1885,4110,103359
USA,1886,5774,107964
USA,1887,6520,123077
USA,1888,6594,139275
USA,1889,7726,133959
USA,1890,9350,150826
USA,1891,8412,162044
USA,1892,9304,171105
USA,1893,7238,172586
USA,1894,6764,161748
USA,1895,9598,182744
USA,1896,8762,183531
USA,1897,9808,190740
USA,1898,11963,207271
USA,1899,13839,236406
USA,1900,10352,256081
USA,1901,13690,280242
USA,1902,15187,300106
USA,1903,14768,356268
USA,1904,14082,353388
USA,1905,20345,397156
USA,1906,23774,419190
USA,1907,23737,487862
USA,1908,14248,432351
USA,1909,24339,478835
USA,1910,26512,523027
USA,1911,24056,521004
USA,1912,31753,557076
USA,1913,31803,600107
USA,1914,23890,556778
USA,1915,32667,580731
USA,1916,43460,646120
USA,1917,45784,710959
USA,1918,45176,743925
USA,1919,35228,648393
USA,1920,42809,743808
USA,1921,20101,622541
USA,1922,36173,641311
USA,1923,45665,834889
USA,1924,38540,762070
USA,1925,46122,790029
USA,1926,49069,852304
USA,1927,45656,842978
USA,1928,52371,833446
USA,1929,57339,903141
USA,1930,41352,814891
USA,1931,26363,709367
USA,1932,13901,612400
USA,1933,23605,649968
USA,1934,26474,689998
USA,1935,34640,721900
USA,1936,48534,825460
USA,1937,51380,869666
USA,1938,28805,751346
USA,1939,47898,829091
USA,1940,60765,939812
USA,1941,75150,1031214
USA,1942,78047,1103469
USA,1943,80592,1169553
USA,1944,81322,1247643
USA,1945,72304,1219068
USA,1946,60421,1188144
USA,1947,77015,1315777
USA,1948,80413,1396394
USA,1949,70740,1199344
USA,1950,87848,1241836
USA,1951,95435,1325948
USA,1952,84520,1309824
USA,1953,101250,1347597
USA,1954,80115,1302449
USA,1955,106173,1415958
USA,1956,104522,1492506
USA,1957,102253,1494767
USA,1958,77342,1437859
USA,1959,84773,1513627
USA,1960,90067,1421218
USA,1961,88917,1447002
USA,1962,89202,1508570
USA,1963,99120,1589655
USA,1964,115281,1610682
USA,1965,119260,1700357
USA,1966,121655,1784048
USA,1967,115406,1903194
USA,1968,119262,2094353
USA,1969,128152,2198902
USA,1970,119309,2276904
USA,1971,109265,2311854
USA,1972,120875,2396418
USA,1973,136804,2490304
USA,1974,132196,2430725
USA,1975,105897,2393766
USA,1976,116121,2536257
USA,1977,113701,2619481
USA,1978,124314,2612982
USA,1979,123688,2659868
USA,1980,101456,2584210
USA,1981,109614,2502657
USA,1982,67656,2380353
USA,1983,76762,2378677
USA,1984,83940,2467563
USA,1985,80067,2466405
USA,1986,74032,2468629
USA,1987,80876,2561765
USA,1988,90631,2669996
USA,1989,87722,2745073
USA,1990,89726,2798225
USA,1991,79738,2827021
USA,1992,84322,2856725
USA,1993,88793,2921265
USA,1994,91244,2962511
