"stateabb","year","milex","diff","percent_change"
"USA",1914,253205,0,NULL
"USA",1915,257648,4443,1.75470468592642325400
"USA",1916,277421,19773,7.67442402036887536500
"USA",1917,658584,381163,137.3951503310852500
"USA",1918,7014226,6355642,965.0465240576752500
"USA",1919,11217796,4203570,59.92920672929557730200
"USA",1920,1657118,-9560678,-85.22777558087167925000
"USA",1921,1116342,-540776,-32.63352398561840496600
"USA",1922,860853,-255489,-22.88626603675217809600
"USA",1923,678256,-182597,-21.21117078060946526300
"USA",1924,570142,-108114,-15.93999905640348187100
"USA",1925,589706,19564,3.43142585531323775500
"USA",1926,558004,-31702,-5.37589917687796970000
"USA",1927,596501,38497,6.89905448706460885600
"USA",1928,678100,81599,13.67960824877074807900
"USA",1929,701300,23200,3.42132428845303052600
"USA",1930,699200,-2100,-0.29944388991872237300
"USA",1931,698900,-300,-0.04290617848970251700
"USA",1932,641600,-57300,-8.19859779653741593900
"USA",1933,570400,-71200,-11.09725685785536159600
"USA",1934,803100,232700,40.79593267882187938300
"USA",1935,806400,3300,0.41090773253642136700
"USA",1936,932600,126200,15.64980158730158730200
"USA",1937,1032900,100300,10.75487883336907570200
"USA",1938,1131499,98599,9.54584180462774712000
"USA",1939,980000,-151499,-13.38922968557639025800
"USA",1940,1657000,677000,69.08163265306122449000
"USA",1941,6301000,4644000,280.2655401327700700
"USA",1942,26001000,19700000,312.6487859069988900
"USA",1943,72109000,46108000,177.3316410907272800
"USA",1944,87000000,14891000,20.65068160701160742800
"USA",1945,90000000,3000000,3.44827586206896551700
"USA",1946,45133984,-44866016,-49.85112888888888888900
"USA",1947,14315999,-30817985,-68.28110941857027290100
"USA",1948,10960998,-3355001,-23.43532574988305042500
"USA",1949,13503000,2542002,23.19133713919115759300
"USA",1950,14559000,1056000,7.82048433681404132400
"USA",1951,33398000,18839000,129.3976234631499400
"USA",1952,47852000,14454000,43.27804060123360680300
"USA",1953,49621008,1769008,3.69683189835325587200
"USA",1954,42786000,-6835008,-13.77442392947761157900
"USA",1955,40518000,-2268000,-5.30079932688262515800
"USA",1956,41773008,1255008,3.09740855915889234400
"USA",1957,44548000,2774992,6.64302652085767919800
"USA",1958,45503008,955008,2.14377300888928795900
"USA",1959,46614000,1110992,2.44157924680495847700
"USA",1960,45380000,-1234000,-2.64727335135367057100
"USA",1961,47808000,2428000,5.35037461436756280300
"USA",1962,52381008,4573008,9.56536144578313253000
"USA",1963,52295008,-86000,-0.16418164385076362000
"USA",1964,51213008,-1082000,-2.06903113964529845800
"USA",1965,51827008,614000,1.19891415087354369000
"USA",1966,67572000,15744992,30.37989767806005702700
"USA",1967,75448000,7876000,11.65571538507073935900
"USA",1968,80732000,5284000,7.00349909871699713700
"USA",1969,81446000,714000,0.88440766982113660000
"USA",1970,77827008,-3618992,-4.44342509147164992800
"USA",1971,74862000,-2965008,-3.80974172873252431900
"USA",1972,77639000,2777000,3.70949213218989607500
"USA",1973,78385000,746000,0.96085730109867463500
"USA",1974,85906000,7521000,9.59494801301269375500
"USA",1975,90948000,5042000,5.86920587619025446400
"USA",1976,91013000,65000,0.07146941109205260100
"USA",1977,100925000,9912000,10.89075187061189060900
"USA",1978,109247000,8322000,8.24572702501857815200
"USA",1979,122279000,13032000,11.92893168691131106600
"USA",1980,143981000,21702000,17.74793709467692735500
"USA",1981,169888000,25907000,17.99334634430931859100
"USA",1982,196345000,26457000,15.57320116782821623700
"USA",1983,217198000,20853000,10.62059130611933077000
"USA",1984,237052000,19854000,9.14096814887798230200
"USA",1985,245154000,8102000,3.41781550039653746900
"USA",1986,265480000,20326000,8.29111497262944924400
"USA",1987,273966000,8486000,3.19647431068253729100
"USA",1988,281935000,7969000,2.90875510099793405000
"USA",1989,294880000,12945000,4.59148385266107436100
"USA",1990,289755000,-5125000,-1.73799511665762344000
"USA",1991,262389000,-27366000,-9.44453072423254128500
"USA",1992,286892000,24503000,9.33842501019478712900
"USA",1993,297600000,10708000,3.73241498543005730400
"USA",1994,293214000,-4386000,-1.47379032258064516100
"USA",1995,277834000,-15380000,-5.24531570798120144300
"USA",1996,277254000,-580000,-0.20875774743191977900
"USA",1997,276324000,-930000,-0.33543249150598368300
"USA",1998,279702000,3378000,1.22247796065488339800
"USA",1999,292147000,12445000,4.44937826686973993800
"USA",2000,303136000,10989000,3.76146255138680185000
"USA",2001,322365000,19229000,6.34335743692600021100
"USA",2002,348555000,26190000,8.12433111535061188400
"USA",2003,404920000,56365000,16.17104904534435024600
"USA",2004,455908000,50988000,12.59211696137508643700
"USA",2005,495326000,39418000,8.64604262263439114900
"USA",2006,521840000,26514000,5.35283833273440118200
"USA",2007,552568000,30728000,5.88839491031733864800
"USA",2008,616073000,63505000,11.49270316051599079200
"USA",2009,662049000,45976000,7.46275197906741571200
"USA",2010,693600000,31551000,4.76565933941445421700
"USA",2011,687000000,-6600000,-0.95155709342560553600
"USA",2012,655388000,-31612000,-4.60145560407569141200
"USA",2013,600400000,-54988000,-8.39014446404267395800
"USA",2014,581000000,-19400000,-3.23117921385742838100
"USA",2015,597503000,16503000,2.84044750430292599000
"USA",2016,604452000,6949000,1.16300671293700617400
